plotID,species,regen_per_ha_yr,shade_tolerance
eagl002,abpr,11,intolerant
eagl002,psme,1002,intolerant
eagl003,psme,97,intolerant
eagl003,abam,5,tolerant
eagl003,pico,5,intolerant
eagl005,abpr,22,intolerant
eagl005,psme,157,intolerant
eagl005,abam,22,tolerant
eagl006,abpr,32,intolerant
eagl006,psme,184,intolerant
eagl006,abam,38,tolerant
eagl007,abpr,76,intolerant
eagl007,psme,557,intolerant
eagl007,abam,22,tolerant
eagl007,pico,11,intolerant
eagl008,abpr,3800,intolerant
eagl008,psme,2669,intolerant
eagl008,abam,168,tolerant
eagl008,pico,22,intolerant
eagl008,pimo,270,intolerant
eagl008,tshe,563,tolerant
eagl009,abpr,135,intolerant
eagl009,psme,114,intolerant
eagl009,abam,16,tolerant
eagl010,psme,32,intolerant
eagl011,psme,5,intolerant
good001,tshe,4,tolerant
good001,thpl,4,tolerant
good004,psme,39,intolerant
good004,tshe,165,tolerant
good004,thpl,26,tolerant
good007,psme,567,intolerant
good007,pico,333,intolerant
good007,tshe,22,tolerant
good011,psme,390,intolerant
good011,pico,4,intolerant
good011,tshe,56,tolerant
good012,psme,8722,intolerant
good012,pico,65,intolerant
good012,tshe,4997,tolerant
good012,thpl,9874,tolerant
good019,psme,234,intolerant
good019,tshe,2469,tolerant
good019,thpl,437,tolerant
good026,psme,1893,intolerant
good026,pico,156,intolerant
good026,tshe,2793,tolerant
good026,thpl,2382,tolerant
good027,psme,1105,intolerant
good027,tshe,48,tolerant
good027,thpl,2079,tolerant
mapl001,psme,902,intolerant
mapl001,tshe,72,tolerant
mapl002,psme,253,intolerant
mapl002,tshe,115,tolerant
mapl002,thpl,6950,tolerant
mapl003,psme,43,intolerant
mapl003,tshe,960,tolerant
mapl003,thpl,1523,tolerant
nor003,abpr,22,intolerant
nor003,psme,14,intolerant
nor003,tshe,1437,tolerant
nor005,abpr,7,intolerant
nor005,psme,14,intolerant
nor005,tshe,714,tolerant
nor006,abpr,721,intolerant
nor006,psme,14,intolerant
nor006,tshe,714,tolerant
nor007,abpr,14,intolerant
nor007,psme,22,intolerant
nor007,tshe,7,tolerant
nor014,abpr,1682,intolerant
nor014,psme,4359,intolerant
nor014,tshe,9917,tolerant
nor016,abpr,1299,intolerant
nor016,psme,6446,intolerant
nor016,tshe,3190,tolerant
nor018,abpr,455,intolerant
nor020,abpr,7,intolerant
nor021,abpr,36,intolerant
nor021,psme,58,intolerant
nor022,abpr,779,intolerant
nor026,psme,1494,intolerant
nor026,abam,22,tolerant
nor026,abla,736,tolerant
nor027,abpr,3775,intolerant
nor027,psme,2555,intolerant
nor027,tshe,18045,tolerant
nor027,pien,354,tolerant
nor028,tshe,1068,tolerant
nor031,psme,772,intolerant
nor031,abam,721,tolerant
nor031,tshe,33636,tolerant
nor033,abpr,1603,intolerant
nor037,abpr,3190,intolerant
nor037,psme,2859,intolerant
nor037,abam,397,tolerant
nor037,tshe,3197,tolerant
nor038,abpr,5363,intolerant
nor038,psme,1097,intolerant
nor038,abam,758,tolerant
nor038,tshe,4973,tolerant
nor039,abpr,361,intolerant
nor039,psme,123,intolerant
nor039,abam,361,tolerant
nor039,tshe,1097,tolerant
nor043,abpr,14,intolerant
nor043,psme,772,intolerant
nor043,abam,1068,tolerant
nor043,tshe,86168,tolerant
